time,open,high,low,close,tick_volume,bb_upper,bb_middle,bb_lower,bb_signal,macd_signal,rsi_overbought,adx,adx_strong,atr
2025-05-07 05:40:00,3385.65,3388.431,3384.99,3386.877,899,3387.511378269403,3384.0766000000003,3380.6418217305977,0,0.5197373651806824,0,11.538516451120799,0,4.156650291639861
2025-05-07 05:45:00,3386.919,3388.58,3385.798,3386.121,806,3387.677523880052,3384.1413500000003,3380.6051761199487,0,0.5915746877629837,0,11.684490333162113,0,4.058460985094167
2025-05-07 05:50:00,3386.129,3389.166,3384.875,3388.226,1133,3388.3137056102355,3384.3595499999997,3380.405394389764,0,0.6940396694843782,0,11.428686843181092,0,4.07507091473031
2025-05-07 05:55:00,3388.25,3389.572,3387.165,3387.93,884,3388.550261682504,3384.4201499999995,3380.290038317495,0,0.8040257270215158,0,11.337795248401745,0,3.9559229922495844
2025-05-07 06:00:00,3387.933,3393.358,3387.933,3391.794,976,3389.895520998703,3384.7002500000003,3379.5049790012977,-1,0.972775524271371,0,12.429310405969487,0,4.061071349946067
2025-05-07 06:05:00,3391.829,3394.052,3391.362,3393.124,1065,3391.4890996217987,3385.13,3378.7709003782015,-1,1.1885133729401,0,13.625839803048908,0,3.9631376820927806
2025-05-07 06:10:00,3393.161,3395.852,3392.284,3392.992,1585,3392.772688337215,3385.5823000000005,3378.391911662786,-1,1.4175782421166614,0,15.186330911089538,0,3.934913561943279
2025-05-07 06:15:00,3393.034,3394.34,3391.076,3392.58,908,3393.728425765041,3386.09855,3378.4686742349595,0,1.63318410367267,0,16.051494580960924,0,3.8869911646616253
2025-05-07 06:20:00,3392.585,3394.655,3391.636,3392.043,846,3394.4819932218743,3386.5114999999996,3378.541006778125,0,1.816761826162947,0,16.941384252117974,0,3.82499179575724
2025-05-07 06:25:00,3392.028,3392.579,3389.332,3390.708,876,3394.843107926768,3386.9413999999997,3379.0396920732314,0,1.9452015710201305,0,16.702762173877723,0,3.783706667488887
2025-05-07 06:30:00,3390.663,3391.686,3387.982,3389.885,1200,3395.0685165895443,3387.2864999999997,3379.504483410455,0,2.01478488385039,0,15.927675246532472,0,3.7780133340968365
2025-05-07 06:35:00,3389.914,3392.538,3389.492,3391.416,1004,3395.3539549565953,3387.7502,3380.1464450434046,0,2.0636645616120015,0,15.505916995975806,0,3.7257266673756213
2025-05-07 06:40:00,3391.374,3391.932,3387.413,3389.222,1187,3394.9399002518003,3388.21345,3381.4869997482,0,2.0572977509541723,0,14.502020146350928,0,3.7823890482773472
2025-05-07 06:45:00,3389.254,3390.738,3387.999,3390.317,738,3394.9812285341745,3388.5512500000004,3382.1212714658263,0,2.029418358139829,0,13.5698302145564,0,3.707861259114682
2025-05-07 06:50:00,3390.337,3393.161,3389.947,3391.194,920,3395.135936374594,3388.8836499999998,3382.6313636254054,0,1.9988833472823506,0,13.392195774815946,0,3.6725854548922006
2025-05-07 06:55:00,3391.153,3393.088,3389.218,3392.442,808,3395.4505802396693,3389.2398500000004,3383.0291197603315,0,1.983639793839307,0,12.921845867935557,0,3.6866864938284967
2025-05-07 07:00:00,3392.448,3392.86,3389.168,3389.403,1019,3395.4119085564967,3389.43005,3383.448191443503,-1,1.9257731354944596,0,12.463464105332886,0,3.6870660299836047
2025-05-07 07:05:00,3389.378,3394.113,3387.653,3393.714,1241,3395.6739565630314,3389.89995,3384.1259434369686,1,1.9086148672542946,0,11.752766704960903,0,3.8851327421276354
2025-05-07 07:10:00,3393.722,3396.453,3393.461,3395.911,981,3395.813903542713,3390.5764000000004,3385.338896457288,-1,1.9485730265492702,0,11.637731004543422,0,3.821337546261389
2025-05-07 07:15:00,3395.9,3397.449,3392.808,3393.431,981,3395.820068398604,3390.9665,3386.112931601396,0,1.9782278397060291,0,11.874677747697039,0,3.879884864385581
2025-05-07 07:20:00,3393.391,3394.047,3389.736,3390.251,904,3395.6297381787144,3391.1351999999997,3386.640661821285,-1,1.9446263366683352,0,11.198417089390633,0,3.9106788026437647
2025-05-07 07:25:00,3390.281,3392.217,3389.724,3391.197,990,3395.251064111317,3391.389,3387.526935888683,0,1.883799127145653,0,10.574886970302034,0,3.8094160310263483
2025-05-07 07:30:00,3391.205,3391.674,3385.834,3387.219,1115,3395.3861510697866,3391.33865,3387.2911489302137,1,1.7413358091522606,0,11.25992437231274,0,3.954457743095905
2025-05-07 07:35:00,3387.183,3389.933,3386.22,3389.819,828,3395.2389730877317,3391.4330999999997,3387.627226912268,0,1.5926853473987759,0,11.896030531322682,0,3.937210761446211
2025-05-07 07:40:00,3389.89,3391.307,3386.588,3386.588,904,3395.518210756179,3391.1727999999994,3386.8273892438197,1,1.3927706366171422,0,11.892868155439176,0,3.9930528499143096
2025-05-07 07:45:00,3386.578,3388.259,3384.35,3384.509,883,3395.8665228694686,3390.74205,3385.617577130531,1,1.1348607104021755,0,12.571346497615869,0,3.987049074920438
2025-05-07 07:50:00,3384.538,3385.573,3383.739,3385.399,815,3395.8742841932617,3390.3624000000004,3384.850515806739,0,0.8657334242975222,0,13.374514775608748,0,3.833259855283252
2025-05-07 07:55:00,3385.404,3388.132,3384.585,3388.053,709,3395.6368722830703,3390.13605,3384.63522771693,0,0.64405324972892,0,13.04039590651331,0,3.8128127227630215
2025-05-07 08:00:00,3387.995,3388.034,3382.638,3385.452,1253,3395.593157601753,3389.8065,3384.0198423982474,0,0.4207674829956832,0,13.323297613145346,0,3.9272546711370886
2025-05-07 08:05:00,3385.406,3386.043,3382.46,3384.84,990,3395.670352306015,3389.5131,3383.355847693985,0,0.19745725428314037,0,13.638608588768307,0,3.90266505177016
2025-05-07 08:10:00,3384.829,3387.266,3384.368,3386.62,764,3395.6308926928914,3389.34985,3383.0688073071087,0,0.01378679984248099,0,13.413154711458636,0,3.830903262358016
